Protein,NET_FC_Phi,NET_FC_Pi,,,
AT4G16310.5,0,1.789996147,,,
AT1G13350.1,-1.553860664,1.783362389,,,
AT1G02870.1,1.260121346,1.77426815,,,
AT3G06290.4,0,1.767704964,,,
AT4G29190.1,-2.959216118,1.76384306,,,
AT4G00720.1,-2.126926422,1.759800911,,,
AT1G49950.3,0,1.755476952,,,
AT3G22380.1,0,1.752202988,,,
AT1G68720.1,-2.193767548,1.735528946,,,
AT2G35530.1,0,1.728726387,,,
AT5G43420.1,1.679952621,1.728322029,,,
AT1G14850.1,0,1.721700191,,,
AT2G47410.4,0,1.713620663,,,
AT3G01810.3,0,1.696705818,,,
AT3G01160.1,0,1.686629295,,,
AT1G50660.1,2.876220703,1.658816338,,,
AT2G20980.1,0,1.653515816,,,
AT1G77610.1,1.716507435,1.640071869,,,
AT4G37630.1,0,1.632080078,,,
AT3G16940.2,0,1.605999947,,,
AT3G12340.1,3.637598991,1.597177029,,,
AT3G50370.1,0,1.587329388,,,
AT4G25500.6,1.876853943,1.57156086,,,
AT5G58950.1,0,1.565078735,,,
AT2G32590.1,0,1.552532196,,,
AT2G47000.7,0,1.547348976,,,
AT5G45300.2,0,1.543067932,,,
AT5G63640.2,0,1.520532608,,,
AT3G15040.1,2.140672684,1.520021439,,,
AT4G24690.1,0,1.509954453,,,
AT2G26280.6,0,1.485789299,,,
AT4G17140.1,3.984633923,1.468010902,,,
AT1G14040.1,0,1.43239975,,,
AT5G52530.3,0,1.413583755,,,
AT5G18810.2,0,1.403065681,,,
AT4G15545.1,-2.93953228,1.401784897,,,
AT2G46040.3,0,1.380565643,,,
AT4G08330.2,-1.458238602,1.367638588,,,
AT3G51280.1,0,1.356236458,,,
AT2G27810.3,-2.232720375,1.312470436,,,
AT1G31870.2,-1.081428528,1.30805397,,,
AT1G67580.2,-1.276118279,1.305690765,,,
AT1G75400.1,0,1.304567337,,,
AT2G20190.1,-3.756107807,1.23549509,,,
AT3G07050.1,2.259449959,1.233243942,,,
AT5G41950.1,2.229982853,1.225588799,,,
AT5G52200.1,0,1.211856842,,,
AT5G57000.2,0,1.186047554,,,
AT5G12440.9,0,1.166424751,,,
AT3G22270.1,-1.004747391,1.112833023,,,
AT1G29350.1,0,1.09564209,,,
AT2G38940.1,-1.565253258,1.084446907,,,
AT4G11860.1,0,1.081159592,,,
AT5G04040.2,-2.572100639,1.069187641,,,
AT3G43590.1,1.777422905,1.06519413,,,
AT3G21290.2,-2.915926933,1.054561615,,,
AT5G43310.5,-2.924521446,1.032577515,,,
AT2G19490.1,0,1.023989677,,,
AT5G38720.1,0.748329163,1.016781807,,,
AT1G32340.1,0,0.993086815,,,
AT3G45090.2,3.961861134,0.98611927,,,
AT5G20200.1,0,0.865209579,,,
AT5G62810.1,0,0.846953392,,,
AT5G52310.1,0,0.837043762,,,
AT2G19540.1,0,0.833322525,,,
AT3G58620.2,0,0.829416275,,,
AT4G05410.1,0,0.829359055,,,
AT3G63400.4,-1.159975529,0.800008774,,,
AT5G61770.1,0,0.798288345,,,
AT5G01400.2,-2.321956635,0.742720604,,,
AT5G64420.1,0,0.731301308,,,
